tick;clientPing;localShotTime;confirmTime;latencyMs;lagComp
1538;129;27,2142520904195;28,0735049886621;859,25;True
1631;432;28,4145943948413;29,6169162910998;1202,32;True
1763;470;30,596482093254;31,8111473922902;1214,67;True
1824;22;32,6451005952381;32,8272610898526;182,16;True
2228;375;38,8201103954082;39,5571422902494;737,03;True
2346;84;41,409732093254;41,5218101899093;112,08;True
2431;444;41,409732093254;42,9495963931406;1539,86;True
2517;278;43,4843711947279;44,3860095946712;901,64;True
2772;155;47,6251024943311;48,6405667942177;1015,46;True
2888;78;49,6476444940476;50,5521028911565;904,46;True

