tick;clientPing;localShotTime;confirmTime;latencyMs;lagComp
700;72;13.7585324900794;13.9072628897392;148.73;True
815;72;15.677329393424;15.8262625921202;148.93;True
890;72;16.9308608914399;17.0765640943878;145.70;True
1354;72;24.6637517928005;24.8074018920068;143.65;True
1670;72;29.9447443948413;30.0878183886054;143.07;True
1846;75;32.8694308886054;33.0148525935374;145.42;True
2092;72;36.9563932893991;37.1050648951247;148.67;True
3338;69;57.7367431901927;57.8748248937075;138.08;True
3974;73;68.3393693948413;68.4831730938209;143.80;True
4822;72;82.4553843891723;82.6042132936508;148.83;True
4959;72;84.7445392928005;84.8883401927438;143.80;True
5191;72;88.6188273951247;88.7623352891156;143.51;True
